Link;Autor;Tytu³;Rodzaj;Duration;Tempo(BPM);Key;Popularity;Happiness;Danceability;Energy;Acousticness;Instrumentalness;Liveness;Speechiness;Explicit
l;Rage Against The Machine;Sleep Now In the Fire;metal;3:26;127;D Major;68;0.54;0.43;0.93;0.0;0.1;0.08;0.07;False;
l;Rage Against The Machine;Killing In The Name;metal;5:14;89;G Major;81;0.66;0.47;0.83;0.03;0;0.03;0.3;True;
l;Rage Against The Machine;Testify;metal;3:30;118;G Major;65;0.5;0.47;0.98;0.03;0.0;0.36;0.07;False;
l;Linkin Park;Breaking the Habit;metal;3:17;100;E Minor;69;0.58;0.58;0.85;0.11;0;0.09;0.03;False;
l;Linkin Park;Numb;metal;3:06;110;A Major;87;0.24;0.5;0.86;0.0;0;0.64;0.04;False;
l;Linkin Park;Easier to Run;metal;3:24;105;D#/Eb Minor;51;0.28;0.55;0.86;0.06;0;0.13;0.03;False;
l;Linkin Park;Runaway;metal;3:04;109;G Major;67;0.45;0.64;0.88;0.01;0;0.25;0.06;False;
l;Linkin Park;In the End;metal;3:37;105;D#/Eb Minor;89;0.4;0.56;0.86;0.01;0;0.21;0.06;False;
l;Linkin Park;Crawling;metal;3:29;105;E Major;80;0.3;0.58;0.7;0.05;0.0;0.54;0.03;False;
l;Evanescence;Everybody's Fool;metal;3:16;95;D Minor;68;0.3;0.44;0.83;0.0;0.0;0.24;0.04;False;
l;Evanescence;Lithium;metal;3:44;118;A#/Bb Minor;65;0.21;0.48;0.63;0.21;0;0.1;0.04;False;
l;Eminem;Lose Yourself;hip hop;5:21;171;D Major;55;0.06;0.69;0.74;0.01;0.0;0.36;0.26;False;
l;Eminem;Rap God;hip hop;6:04;148;G Major;77;0.62;0.71;0.84;0.4;0;0.8;0.31;True;
l;Dr. Dre;The Next Episode;hip hop;2:42;95;A#/Bb Minor;82;0.31;0.92;0.91;0.03;0;0.09;0.27;True;
l;Eminem;Without Me;hip hop;4:50;112;G Major;89;0.66;0.91;0.67;0.0;0;0.24;0.07;True;
l;Stephen Sanchez;Until I Found You;undefined;2:58;101;A#/Bb Major;81;0.23;0.54;0.51;0.73;0;0.17;0.03;False;
l;Mêskie Granie Orkiestra;1998;rock;3:27;148;G#/Ab Major;26;0.04;0.53;0.63;0.06;0;0.98;0.09;False;
l;Mêskie Granie Orkiestra;Polskie Tango;rock;4:38;98;F Major;31;0.16;0.42;0.83;0.06;0;0.97;0.12;False;
l;Elton John;I Think I'm Going To Kill Myself;rock;3:35;138;C Major;54;0.72;0.63;0.54;0.53;0.0;0.13;0.03;False;
l;Saint Motel;A Good Song Never Dies;pop;3:21;120;D Minor;62;0.56;0.68;0.81;0.05;0;0.07;0.04;False;
l;Strachy Na Lachy;Pi³a tango;rock;6:02;120;A Minor;50;0.58;0.74;0.69;0.19;0;0.34;0.04;False;
l;AURORA;Cure For Me;pop;3:22;116;F#/Gb Minor;66;0.41;0.73;0.74;0.1;0.0;0.09;0.06;False;
l;Republika;Mamona;folk/acoustic;3:39;113;G Major;47;0.95;0.71;0.77;0.09;0;0.5;0.03;False;
l;Republika;Bia³a Flaga;folk/acoustic;4:56;132;F Major;49;0.63;0.52;0.86;0.15;0.02;0.74;0.05;False;
l;Strachy Na Lachy;Katastrofa szczêœcia;rock;3:53;156;E Minor;33;0.85;0.6;0.89;0.02;0.0;0.16;0.03;False;
l;Ghost;Mary On A Cross;rock;4:05;130;B Major;79;0.56;0.47;0.9;0.0;0.0;0.1;0.04;False;
l;Franz Ferdinand;Take Me Out;rock;3:57;105;E Minor;82;0.53;0.28;0.66;0.0;0.0;0.14;0.04;False;
l;Poparzeni Kaw¹ Trzy;By³aœ dla Mnie Wszystkim;pop;3:09;177;E Minor;55;0.85;0.61;0.86;0.04;0.0;0.07;0.11;False;
l;The Killers;Somebody Told Me;rock;3:17;138;A#/Bb Minor;83;0.69;0.5;0.97;0.0;0.0;0.1;0.08;False;
l;Good Charlotte;Lifestyles of the Rich & Famous;metal;3:10;106;C#/Db Major;70;0.61;0.62;0.93;0.0;0;0.07;0.04;False;
l;Fall Out Boy;This Ain't A Scene, It's An Arms Race;rock;3:32;200;A Major;72;0.41;0.43;0.89;0.0;0;0.03;0.06;False;
l;The Animals;House Of The Rising Sun;rock;4:31;117;A Minor;73;0.23;0.29;0.58;0.0;0.22;0.1;0.03;False;
l;Perfect;Wszystko Ma Swój Czas;pop;3:56;136;B Major;54;0.42;0.57;0.6;0.05;0.0;0.24;0.03;False;
l;Imagine Dragons;Sharks;rock;3:11;124;A#/Bb Minor;73;0.9;0.93;0.64;0.01;0.0;0.28;0.07;False;
l;Rammstein;Deutschland;metal;5:22;120;G Major;77;0.24;0.52;0.9;0.0;0.35;0.1;0.04;False;
l;Fall Out Boy;I Don't Care - Single Version;rock;3:34;134;B Minor;65;0.43;0.55;0.94;0.0;0.0;0.56;0.05;False;
l;Rammstein;Sonne;metal;4:32;75;E Minor;72;0.31;0.51;0.92;0.01;0.0;0.4;0.09;False;
l;Good Charlotte;I Just Wanna Live;metal;2:46;111;A#/Bb Minor;63;0.94;0.8;0.83;0.01;0;0.1;0.04;False;
l;Rammstein;Adieu;metal;4:38;125;A Major;62;0.19;0.61;0.72;0.03;0.0;0.28;0.04;False;
l;No Doubt;Hella Good;pop;4:03;115;G#/Ab Major;66;0.84;0.77;0.67;0.01;0.01;0.09;0.03;False;
l;No Doubt;Ex-Girlfriend;pop;3:32;173;E Minor;56;0.65;0.55;0.91;0.01;0.0;0.17;0.09;False;
l;Poppy;I Disagree;pop;3:13;180;C Major;58;0.36;0.36;0.87;0.07;0;0.33;0.07;False;
l;Nicole Moudaber;Love Someone Else;electronic;7:11;124;E Minor;22;0.03;0.69;0.69;0.03;0.89;0.62;0.05;False;
l;Skunk Anansie;Twisted (Everyday Hurts) - Live and Acoustic;rock;4:22;144;E Minor;5;0.31;0.45;0.69;0.1;0;0.94;0.13;False;
l;Skunk Anansie;Brazen (Weep) - Live and Acoustic;rock;4:21;130;E Minor;9;0.49;0.42;0.32;0.72;0;0.98;0.08;False;
l;Skunk Anansie;Yes It's Fucking Political - Live;rock;4:14;172;C#/Db Major;11;0.5;0.37;0.83;0.0;0.0;0.98;0.34;True;
l;Lao Che;Wojenka;rock;3:30;96;D Minor;49;0.8;0.84;0.84;0.32;0.0;0.06;0.06;False;
l;Lao Che;Polak, Rusek i Niemiec;rock;3:39;126;B Minor;23;0.76;0.71;0.92;0.07;0.01;0.13;0.04;False;
l;Lao Che;Bajka o misiu (tom pierwszy);rock;5:39;128;A Minor;30;0.42;0.81;0.49;0.83;0.07;0.15;0.06;False;
l;Kult;Brooklyñska rada ¯ydów;rock;5:35;100;C Major;41;0.72;0.69;0.8;0.62;0.0;0.39;0.05;False;
l;Kult;General Ferreira;rock;5:00;92;B Minor;22;0.94;0.61;0.9;0.05;0;0.33;0.05;False;
l;Kult;Po co wolnoœæ;rock;3:30;110;D Major;45;0.56;0.54;0.94;0.11;0.0;0.15;0.1;False;
l;Defekt Muzgó;Defekt mózgu;folk/acoustic;1:38;175;C Major;37;0.48;0.33;0.97;0.0;0.1;0.09;0.16;False;
l;Queen;We Are The Champions - Remastered 2011;rock;2:59;64;G Minor;66;0.17;0.27;0.46;0.38;0;0.12;0.03;False;
l;Marek Grechuta;Dni, których nie znamy;electronic;4:53;73;G Major;56;0.57;0.44;0.6;0.64;0;0.1;0.1;False;
l;Myslovitz;Mieæ czy byæ;rock;3:12;138;E Minor;57;0.58;0.53;0.76;0.0;0.0;0.24;0.03;False;
l;The Beatles;Yesterday - Remastered 2009;rock;2:06;97;F Major;80;0.32;0.33;0.18;0.88;0;0.09;0.03;False;
l;Kansas;Dust in the Wind;rock;3:26;94;G Major;79;0.39;0.47;0.32;0.37;0.0;0.11;0.03;False;
l;Orkiestra Z Chmielnej;Siekiera, motyka;pop;1:48;131;A#/Bb Major;29;0.74;0.49;0.6;0.47;0;0.14;0.08;False;
l;Budka Suflera;Bal wszystkich œwiêtych;rock;4:26;122;A Minor;51;0.89;0.77;0.63;0.51;0.0;0.06;0.03;False;
l;Jamal;Peron;hip hop;3:15;126;E Minor;54;0.61;0.76;0.59;0.28;0.0;0.11;0.06;False;
l;Kwiat Jab³oni;Niemo¿liwe;pop;3:39;113;E Major;44;0.24;0.64;0.38;0.94;0.44;0.11;0.03;False;
l;Imagine Dragons;Zero - From the Original Motion Picture "Ralph Breaks The Internet";rock;3:31;90;F#/Gb Major;70;0.24;0.63;0.66;0.0;0.0;0.11;0.03;False;
l;Bo Burnham;Welcome to The Internet;hip hop;4:36;95;D Minor;70;0.22;0.67;0.53;0.66;0;0.31;0.43;True;
l;Piosenki Szantowe;Gdzie Ta Keja;undefined;3:20;110;A Minor;42;0.75;0.53;0.76;0.43;0;0.16;0.03;False;
l;Piosenki Szantowe;Hiszpañskie Dziewczyny;undefined;5:00;115;E Minor;43;0.9;0.53;0.76;0.35;0;0.18;0.03;False;
l;csskrouble;Bitwa;pop;3:30;128;E Minor;52;0.96;0.73;0.69;0.71;0;0.32;0.03;False;
l;Yugopolis;Ostatnia nocka;pop;3:11;160;C Major;55;0.94;0.58;0.74;0.4;0.0;0.21;0.03;False;
l;Franek Kimono;King Bruce Lee Karate Mistrz;pop;3:43;126;A#/Bb Minor;50;0.89;0.83;0.7;0.05;0;0.08;0.06;False;
l;Nirvana;Smells Like Teen Spirit;rock;5:02;117;C#/Db Major;80;0.72;0.5;0.91;0.0;0.0;0.11;0.06;False;
l;Rammstein;Amerika;metal;3:47;125;D Minor;62;0.52;0.61;0.89;0.0;0.0;0.39;0.1;False;
l;David Hasselhoff;Country Roads;undefined;3:16;83;G Major;36;0.49;0.43;0.47;0.56;0;0.09;0.03;False;
l;Imagine Dragons;Battle Cry;rock;4:34;130;C Minor;55;0.04;0.36;0.91;0.04;0.0;0.14;0.09;False;
l;Imagine Dragons;Bad Liar;rock;4:21;178;D#/Eb Major;82;0.08;0.38;0.64;0.07;0;0.37;0.07;False;
l;Imagine Dragons;Natural;rock;3:09;100;D Major;83;0.22;0.7;0.61;0.22;0;0.08;0.04;False;
l;The Stupendium;Rest Employed;pop;3:27;86;F#/Gb Minor;50;0.56;0.84;0.79;0.22;0;0.51;0.27;False;
l;Obywatel G.C.;Tak ... Tak ... To Ja;rock;3:39;126;A Minor;55;0.59;0.6;0.92;0.06;0;0.36;0.09;False;
l;Paramore;C’est comme ça;pop;2:25;152;C Major;0;0.74;0.63;0.76;0.0;0.78;0.04;0.04;False;
l;Paramore;Running Out Of Time;pop;3:12;127;B Minor;65;0.55;0.74;0.53;0.04;0.0;0.07;0.04;False;
l;Paramore;That's What You Get;pop;3:40;131;G#/Ab Major;68;0.63;0.53;0.83;0.0;0;0.14;0.04;False;
l;The Killers;Mr. Brightside;rock;3:43;148;C#/Db Major;88;0.24;0.35;0.91;0.0;0;0.1;0.07;False;
l;Sum 41;Fat Lip;metal;2:58;197;A Major;75;0.63;0.4;0.91;0.0;0;0.07;0.14;True;
l;Nocny Kochanek;Koñ na bia³ym rycerzu;metal;3:53;125;D Minor;45;0.2;0.51;0.58;0.17;0.0;0.35;0.04;False;
l;My Chemical Romance;Mama;rock;4:39;209;E Minor;68;0.3;0.24;0.8;0.01;0;0.09;0.09;True;
l;Queen;Death On Two Legs (Dedicated To...) - Remastered 2011;rock;3:43;125;D Major;48;0.46;0.4;0.7;0.33;0.0;0.15;0.06;False;
l;Aerosmith;Eat The Rich;rock;4:11;123;B Minor;55;0.66;0.57;0.93;0.0;0.0;0.36;0.05;False;
l;Aerosmith;Fever;rock;4:15;90;A Major;39;0.47;0.52;0.99;0.01;0.0;0.2;0.1;False;
l;Guns N' Roses;It's So Easy;metal;3:23;151;G#/Ab Major;64;0.22;0.39;0.99;0.02;0.0;0.13;0.16;True;
l;Guns N' Roses;Paradise City;metal;6:46;100;B Major;82;0.4;0.27;0.98;0.02;0.01;0.18;0.1;False;
l;Soundgarden;Outshined - Remastered;metal;5:11;95;D Minor;64;0.55;0.48;0.84;0.0;0.01;0.12;0.03;False;
l;Oasis;Wonderwall - Remastered;folk/acoustic;4:19;174;D Major;79;0.43;0.38;0.89;0.0;0;0.19;0.04;False;
l;Oasis;Don't Look Back In Anger - Remastered;folk/acoustic;4:50;163;C Major;73;0.31;0.33;0.94;0.07;0.0;0.17;0.06;False;
l;The Pretty Reckless;Since You're Gone - Live;metal;3:25;106;A#/Bb Minor;21;0.28;0.35;0.98;0.0;0.0;0.95;0.15;False;
l;Evanescence;Call Me When You're Sober;metal;3:35;93;G Major;71;0.33;0.45;0.88;0.0;0;0.29;0.05;False;
l;Evanescence;Bring Me To Life;metal;3:56;95;E Minor;85;0.3;0.33;0.94;0.01;0.0;0.24;0.07;False;
l;No Doubt;Don't Speak;pop;4:24;76;F Minor;79;0.54;0.52;0.71;0.25;0.0;0.18;0.04;False;
l;Linkin Park;Don't Stay;metal;3:08;90;C#/Db Minor;62;0.68;0.49;0.99;0.0;0;0.91;0.11;False;
l;No Doubt;Spiderwebs;pop;4:27;143;A#/Bb Major;65;0.66;0.49;0.85;0.04;0.0;0.13;0.05;False;
l;Republika;Masakra;folk/acoustic;3:45;120;B Major;24;0.49;0.56;0.91;0.0;0.01;0.32;0.11;False;
l;Republika;Republika marzeñ;folk/acoustic;3:40;119;G Minor;32;0.81;0.79;0.73;0.03;0.0;0.24;0.05;False;
l;Republika;Raz na milion lat;folk/acoustic;5:05;101;D Minor;32;0.55;0.69;0.65;0.16;0.0;0.08;0.04;False;
l;Mêskie Granie Orkiestra;Pocz¹tek;rock;3:56;110;G#/Ab Minor;58;0.95;0.77;0.7;0.06;0;0.08;0.04;False;
l;Brodka;My Name Is Youth;rock;1:59;97;C#/Db Major;15;0.23;0.59;0.99;0.11;0.19;0.27;0.16;False;
l;My Chemical Romance;Welcome to the Black Parade;rock;5:11;97;D Major;80;0.24;0.22;0.91;0.0;0.0;0.22;0.08;False;
l;Fall Out Boy;Thnks fr th Mmrs;rock;3:24;155;A#/Bb Minor;80;0.59;0.46;0.89;0.01;0;0.11;0.06;False;
l;Paramore;Misery Business;pop;3:32;173;C#/Db Major;76;0.73;0.52;0.91;0.0;0.0;0.11;0.07;False;
l;Fleetwood Mac;Little Lies;rock;3:38;125;D Major;67;0.89;0.63;0.69;0.12;0.0;0.16;0.03;False;
l;Fleetwood Mac;Seven Wonders - 2017 Remaster;rock;3:42;119;E Major;68;0.63;0.71;0.62;0.03;0.0;0.1;0.03;False;
l;The Darkness;I Believe in a Thing Called Love;metal;3:36;128;E Major;71;0.62;0.44;0.85;0.05;0.0;0.28;0.08;False;
l;Corey Taylor;Black Eyes Blue;metal;3:22;119;G#/Ab Minor;48;0.56;0.55;0.98;0.0;0.0;0.14;0.05;False;
l;Velvet Revolver;Slither;metal;4:08;141;G Major;62;0.27;0.48;0.97;0.0;0.1;0.07;0.1;False;
l;Queen;Get Down, Make Love - Remastered 2011;rock;3:50;143;G#/Ab Major;34;0.38;0.45;0.71;0.4;0;0.21;0.26;False;
l;Foo Fighters;Learn to Fly;metal;3:55;136;E Major;78;0.54;0.47;0.92;0.0;0.0;0.26;0.04;False;
l;Foo Fighters;Breakout;metal;3:21;157;B Minor;63;0.43;0.42;0.94;0.0;0.0;0.12;0.05;False;
l;Red Hot Chili Peppers;Around the World;rock;3:59;97;C Major;71;0.77;0.5;0.96;0.0;0.57;0.06;0.18;True;
l;Avenged Sevenfold;A Little Piece of Heaven;metal;8:01;145;D Minor;74;0.67;0.49;0.88;0.02;0;0.43;0.05;True;
l;Mötley Crüe;Dr. Feelgood;rock;4:50;111;D Major;48;0.34;0.53;0.97;0.0;0.01;0.23;0.08;False;
l;Van Halen;Panama - 2015 Remaster;rock;3:30;141;G#/Ab Major;76;0.45;0.53;0.98;0.0;0.0;0.07;0.11;False;
l;Bon Jovi;Bad Medicine;metal;5:17;119;A Major;71;0.81;0.56;0.97;0.05;0;0.09;0.04;False;
l;Ed Sheeran;Bad Habits (feat. Bring Me The Horizon);pop;4:11;131;B Minor;63;0.18;0.59;0.85;0.03;0;0.11;0.08;False;
l;GAYLE;abcdefu (angrier);pop;2:40;122;E Major;67;0.45;0.67;0.6;0.07;0;0.1;0.04;True;
l;Queen;We Will Rock You (Fast) - Live;rock;3:06;179;A Major;24;0.09;0.15;0.98;0.0;0.0;0.94;0.18;False;
l;Fall Out Boy;Sugar, We're Goin Down;rock;3:49;162;G Major;79;0.57;0.49;0.84;0.01;0;0.12;0.08;False;
l;Gotye;Somebody That I Used To Know;pop;4:05;129;C Major;78;0.72;0.86;0.49;0.59;0.0;0.1;0.04;False;
l;Ren;Money Game, Pt. 2;rock;3:39;98;G Minor;45;0.74;0.89;0.5;0.63;0;0.11;0.34;True;
l;Tech N9ne;Face Off;hip hop;3:40;81;G#/Ab Major;67;0.39;0.69;0.94;0.18;0;0.18;0.22;True;
l;The White Stripes;Seven Nation Army;rock;3:52;124;E Minor;86;0.28;0.74;0.45;0.0;0.12;0.34;0.07;False;
l;Andy Black;We Don't Have To Dance;rock;3:14;146;G#/Ab Major;64;0.65;0.54;0.93;0.01;0;0.09;0.1;False;
l;Engelbert Humperdinck;A Man Without Love;undefined;3:23;112;D Major;70;0.51;0.54;0.47;0.64;0;0.12;0.03;False;
l;Dean Martin;Everybody Loves Somebody;jazz;2:45;119;D#/Eb Major;70;0.46;0.37;0.39;0.85;0;0.35;0.04;False;
l;The Electric Swing Circus;Empires;undefined;3:11;120;D Minor;56;0.83;0.82;0.76;0.26;0.0;0.1;0.04;False;
l;Foo Fighters;Everlong;metal;4:11;158;B Minor;85;0.36;0.41;0.88;0.0;0.0;0.08;0.04;False;
l;Metallica;Enter Sandman (Remastered);rock;5:32;123;F#/Gb Minor;77;0.62;0.57;0.83;0.0;0.01;0.06;0.03;False;
l;Stacey Q;Two of Hearts - European Dance Mix;hip hop;4:54;130;F Minor;37;0.95;0.72;0.82;0.04;0.0;0.24;0.03;False;
l;Barns Courtney;Rather Die;rock;3:13;128;B Major;53;0.77;0.67;0.88;0.01;0.0;0.35;0.04;False;
l;Ghost;Square Hammer;rock;3:59;130;D Minor;65;0.75;0.53;0.9;0.0;0.18;0.26;0.05;False;
l;Wanda i Banda;Hi-Fi;rock;4:40;120;A Major;50;0.67;0.7;0.8;0.08;0;0.04;0.09;False;
l;KONIEC ŒWIATA;Oran¿ada;folk/acoustic;4:55;107;D Major;41;0.69;0.6;0.76;0.54;0;0.32;0.04;False;
l;KONIEC ŒWIATA;Granat w plecaku;folk/acoustic;3:29;144;G Major;32;0.83;0.52;0.87;0.01;0.03;0.03;0.03;False;
l;Pull The Wire;Kapslami W Niebo;folk/acoustic;3:13;180;C#/Db Major;46;0.8;0.44;0.91;0.01;0;0.08;0.04;False;
l;Mr. Zoob;Mój jest ten kawa³ek pod³ogi;electronic;4:03;144;C Minor;55;0.73;0.63;0.68;0.01;0.0;0.23;0.05;False;
l;Peter Schilling;Major Tom (Coming Home);rock;5:01;161;E Minor;65;0.84;0.79;0.42;0.15;0.16;0.17;0.06;False;
l;Perfect;Chcemy Byæ Sob¹;pop;5:26;130;D Major;55;0.96;0.77;0.65;0.05;0.0;0.22;0.05;False;
l;Doja Cat;Boss Bitch;pop;2:14;126;A#/Bb Minor;79;0.57;0.71;0.95;0.13;0;0.2;0.22;False;
l;Enej;Tak Smakuje ¯ycie;pop;3:40;185;F Major;50;0.93;0.42;0.94;0.01;0;0.26;0.04;False;
l;Enej;Skrzydlate Rêce;pop;3:04;170;C Minor;58;0.9;0.51;0.94;0.03;0;0.67;0.04;False;
l;Kuki;Ciep³e dranie;pop;3:11;95;C#/Db Major;50;0.24;0.93;0.57;0.0;0;0.3;0.22;True;
l;Bia³as;Grill u Gawrona;hip hop;2:52;128;D Major;62;0.61;0.74;0.8;0.43;0;0.36;0.33;False;
l;Yugopolis;Ostatnia nocka;pop;3:11;160;C Major;55;0.94;0.58;0.74;0.4;0.0;0.21;0.03;False;
l;Paramore;All I Wanted;pop;3:46;144;F#/Gb Minor;75;0.15;0.49;0.72;0.02;0.03;0.13;0.04;False;
l;Sidemen;The Gift;undefined;2:16;140;A#/Bb Minor;39;0.12;0.85;0.59;0.19;0;0.27;0.42;True;
l;No Doubt;It's My Life;pop;3:46;126;G#/Ab Minor;63;0.77;0.61;0.75;0.0;0.0;0.32;0.03;False;
