Link;Autor;Tytu³;Rodzaj;Duration;Tempo(BPM);Key;Popularity;Happiness;Danceability;Energy;Acousticness;Instrumentalness;Liveness;Speechiness;Explicit
l;Queen;It's A Hard Life - Remastered 2011;rock;4:07;82;D#/Eb Major;44;0.29;0.43;0.6;0.43;0;0.15;0.03;False;
l;Queen;Friends Will Be Friends - Remastered 2011;rock;4:07;75;E Minor;46;0.35;0.44;0.53;0.04;0.0;0.34;0.03;False;
l;Red Hot Chili Peppers;Can't Stop;rock;4:29;91;A Major;85;0.88;0.62;0.94;0.02;0;0.17;0.05;False;
l;Mêskie Granie Orkiestra;Wziêli zamknêli mi klub;rock;5:26;126;G Major;27;0.11;0.6;0.78;0.09;0.0;0.98;0.05;False;
l;Brodka;Krzyzowka dnia;rock;3:14;113;A Minor;31;0.86;0.87;0.69;0.12;0;0.11;0.05;False;
l;£ydka Grubasa;Rapapara;folk/acoustic;4:01;125;C Major;53;0.58;0.7;0.9;0.07;0;0.14;0.03;True;
l;Natalia Przybysz;Nazywam siê niebo;pop;4:28;95;A Minor;43;0.54;0.58;0.7;0.05;0;0.1;0.05;False;
l;Natalia Przybysz;Dzieci malarzy;pop;4:34;93;E Major;40;0.44;0.53;0.6;0.21;0;0.11;0.05;False;
l;Kwiat Jab³oni;Mog³o byæ nic;pop;4:12;148;E Minor;51;0.25;0.57;0.63;0.2;0.0;0.09;0.04;False;
l;Billie Eilish;bad guy;pop;3:14;135;G Major;83;0.56;0.7;0.42;0.33;0.13;0.1;0.38;False;
l;U2;Pride (In The Name Of Love) - Remastered 2009;rock;3:48;106;E Major;65;0.71;0.46;0.84;0.0;0.0;0.78;0.03;False;
l;Aerosmith;Dude (Looks Like A Lady);rock;4:26;126;E Minor;71;0.91;0.54;0.98;0.43;0.0;0.05;0.05;False;
l;Aerosmith;Love In An Elevator - Single Version;rock;5:22;94;E Major;57;0.6;0.45;0.96;0.01;0.0;0.34;0.07;False;
l;Alice Cooper;School's Out;rock;3:30;134;F Major;69;0.35;0.29;0.74;0.05;0.12;0.68;0.05;False;
l;The Rolling Stones;Paint It, Black;rock;3:22;159;C#/Db Major;85;0.61;0.46;0.8;0.05;0.0;0.4;0.09;False;
l;Kult;Baranek;rock;4:20;87;G Minor;49;0.71;0.33;0.69;0.09;0.0;0.52;0.04;False;
l;Kazik;12 Groszy;blues;6:06;120;C#/Db Minor;47;0.84;0.72;0.86;0.2;0;0.09;0.16;False;
l;Strachy Na Lachy;¯yjê w kraju;rock;4:40;145;E Minor;17;0.52;0.44;0.91;0.0;0.0;0.09;0.06;False;
l;Dwa plus Jeden;ChodŸ, Pomaluj Mój Œwiat;pop;3:03;142;C Major;39;0.69;0.41;0.47;0.03;0;0.43;0.03;False;
l;Republika;Raz na milion lat;folk/acoustic;5:05;101;D Minor;32;0.55;0.69;0.65;0.16;0.0;0.08;0.04;False;
l;Lady Pank;Kryzysowa narzeczona;rock;4:00;154;D Minor;59;0.54;0.48;0.84;0.32;0.0;0.14;0.03;False;
l;Maanam;Boskie Buenos - 2011 Remaster;folk/acoustic;3:27;175;E Minor;42;0.86;0.33;0.9;0.1;0.0;0.14;0.13;False;
l;Fisz Emade Tworzywo;Zwiedzam Œwiat;blues;3:54;112;A#/Bb Minor;33;0.78;0.79;0.76;0.28;0.0;0.05;0.03;False;
l;Wedding Band Tip Top;Prawy Do Lewego;undefined;3:24;170;C Minor;28;0.87;0.67;0.85;0.11;0;0.24;0.06;False;
l;Daria Zawia³ow;Metropolis;r&b;4:59;120;D#/Eb Major;40;0.35;0.74;0.68;0.01;0.0;0.07;0.03;False;
l;Daria Zawia³ow;Laura;r&b;4:40;121;C#/Db Major;47;0.23;0.67;0.54;0.02;0;0.1;0.03;False;
l;sanah;Warszawa (J. Tuwim);pop;1:44;144;E Major;45;0.3;0.54;0.36;0.55;0.0;0.1;0.04;False;
l;Dawid Podsiad³o;Ma³omiasteczkowy;pop;3:23;168;F#/Gb Minor;60;0.45;0.57;0.83;0.01;0.0;0.79;0.05;False;
l;Dawid Podsiad³o;Najnowszy Klip;pop;3:50;94;G#/Ab Major;54;0.34;0.72;0.67;0.07;0.0;0.14;0.03;False;
l;Dawid Podsiad³o;Trofea;pop;3:45;110;C Major;54;0.64;0.76;0.67;0.01;0.0;0.16;0.06;False;
l;Kwiat Jab³oni;Nie ma mnie;pop;3:32;140;D Minor;42;0.44;0.71;0.44;0.58;0.0;0.06;0.04;False;
l;Bitamina;Dom;r&b;4:13;125;C#/Db Major;53;0.62;0.73;0.59;0.49;0.0;0.1;0.09;False;
l;Queen;Don't Stop Me Now - Remastered 2011;rock;3:29;156;F Major;77;0.6;0.56;0.86;0.05;0.0;0.77;0.16;False;
l;Queen;I Want To Break Free - Remastered 2011;rock;4:18;109;E Major;65;0.6;0.8;0.43;0.09;0.0;0.08;0.03;False;
l;Paramore;Hard Times;pop;3:03;120;F Minor;75;0.92;0.69;0.82;0.01;0.0;0.02;0.03;False;
l;Paramore;Ain't It Fun;pop;4:57;104;A Major;59;0.67;0.61;0.89;0.15;0.0;0.02;0.09;False;
l;Kwiat Jab³oni;Wziêli zamknêli mi klub;pop;3:36;120;C Major;48;0.93;0.76;0.59;0.87;0.13;0.15;0.03;False;
l;Kwiat Jab³oni;Kometa;pop;3:38;110;A Minor;47;0.44;0.74;0.44;0.74;0;0.15;0.05;False;
l;Kwiat Jab³oni;Drogi proste;pop;4:49;122;C Major;45;0.47;0.69;0.61;0.36;0;0.24;0.05;False;
l;Daria Zawia³ow;Wojny i Noce;r&b;3:32;85;E Minor;38;0.56;0.6;0.78;0.0;0.0;0.37;0.03;False;
l;Daria Zawia³ow;Punk Fu!;r&b;3:29;160;A Minor;44;0.49;0.6;0.75;0.0;0.0;0.08;0.05;False;
l;Daria Zawia³ow;Helsinki;r&b;3:49;140;A Minor;39;0.78;0.68;0.79;0.02;0.0;0.28;0.04;False;
l;Bonnie Tyler;Holding Out for a Hero - From "Footloose" Soundtrack;pop;5:48;150;A Minor;75;0.9;0.62;0.69;0.02;0.0;0.05;0.04;False;
l;Poor Man's Poison;Feed the Machine;country;3:03;176;E Minor;72;0.77;0.64;0.45;0.46;0;0.4;0.11;False;
l;Poor Man's Poison;Providence;country;3:04;105;E Minor;66;0.88;0.5;0.52;0.18;0.0;0.08;0.05;False;
l;Myslovitz;Ch³opcy;rock;3:58;102;F Major;53;0.56;0.53;0.82;0.2;0.83;0.19;0.03;False;
l;Poor Man's Poison;Hell's Comin' with Me;country;3:33;130;E Minor;74;0.55;0.58;0.57;0.33;0.0;0.17;0.04;False;
l;Poor Man's Poison;Give and Take;country;3:17;95;G Major;63;0.82;0.67;0.6;0.64;0;0.25;0.03;False;
l;Sztywny Pal Azji;Wie¿a radoœci, wie¿a samotnoœci;folk/acoustic;4:57;131;E Major;50;0.45;0.61;0.89;0.08;0.1;0.16;0.03;False;
l;AURORA;Running with the Wolves;pop;3:15;164;F Major;63;0.46;0.54;0.53;0.25;0.0;0.22;0.05;False;
l;AURORA;Everything Matters;pop;3:34;160;G Minor;56;0.35;0.55;0.32;0.67;0.0;0.07;0.04;False;
l;Lady Gaga;Bloody Mary;pop;4:05;100;A Minor;71;0.43;0.59;0.64;0.01;0.0;0.11;0.03;False;
l;They Might Be Giants;Istanbul (Not Constantinople);hip hop;2:34;114;F Minor;65;0.89;0.69;0.75;0.08;0.0;0.14;0.04;False;
l;John Lennon;Imagine - Remastered 2010;rock;3:08;76;C Major;78;0.17;0.55;0.26;0.91;0.18;0.09;0.03;False;
l;My Chemical Romance;Teenagers;rock;2:42;112;E Major;83;0.86;0.46;0.86;0.05;0;0.18;0.06;False;
l;Guns N' Roses;Welcome To The Jungle;metal;4:33;124;G#/Ab Major;84;0.32;0.45;0.99;0.02;0.28;0.27;0.09;True;
l;Thirty Seconds To Mars;This Is War;rock;5:27;160;F#/Gb Major;67;0.22;0.4;0.72;0.07;0.0;0.23;0.06;False;
l;P.T. Adamczyk;Never Fade Away (SAMURAI Cover);classical;4:46;112;E Minor;58;0.08;0.64;0.47;0.34;0.02;0.11;0.04;False;
l;ABBA;Mamma Mia;pop;3:33;138;D Major;80;0.83;0.75;0.75;0.29;0.0;0.47;0.03;False;
l;The Beatles;Here Comes The Sun - Remastered 2009;rock;3:06;129;A Major;86;0.39;0.56;0.54;0.03;0.0;0.18;0.03;False;
l;Perfect;Autobiografia;pop;4:35;113;C Major;55;0.12;0.61;0.35;0.05;0.0;0.11;0.05;False;
l;Taco Hemingway;Wszystko Jedno;hip hop;5:10;78;F#/Gb Minor;55;0.39;0.45;0.38;0.23;0;0.12;0.45;False;
l;Klaus Mitffoch;Jezu jak siê cieszê;folk/acoustic;2:10;157;E Minor;49;0.91;0.57;0.92;0.08;0.0;0.06;0.08;False;
l;Twenty Trucks;Grapple Truck;undefined;2:53;132;E Major;27;0.92;0.87;0.64;0.39;0;0.07;0.07;False;
l;Baby Tate;Playground (from the series Arcane League of Legends) - Baby Tate Remix;r&b;2:32;90;B Minor;43;0.33;0.61;0.66;0.05;0;0.11;0.07;False;
l;Fantastic Negrito;When Everything Went Wrong (from the series Arcane League of Legends);rock;3:13;113;E Major;49;0.47;0.69;0.91;0.28;0.0;0.18;0.09;False;
l;MIYAVI;Snakes (from the series Arcane League of Legends);pop;2:41;158;C#/Db Minor;60;0.37;0.42;0.84;0.0;0.0;0.38;0.24;False;
l;Imagine Dragons;Enemy (with JID) - from the series Arcane League of Legends;rock;2:53;77;B Minor;82;0.56;0.73;0.78;0.24;0;0.43;0.27;False;
l;Panic! At The Disco;High Hopes;rock;3:11;82;F Major;84;0.68;0.58;0.9;0.19;0;0.06;0.06;False;
l;Imagine Dragons;Believer;rock;3:24;125;A#/Bb Minor;89;0.67;0.78;0.78;0.06;0;0.08;0.13;False;
l;Imagine Dragons;I’m So Sorry;rock;3:50;143;D Minor;64;0.37;0.52;0.68;0.13;0;0.2;0.06;False;
l;Portugal. The Man;So Young;rock;4:06;76;E Minor;64;0.81;0.67;0.45;0.35;0.0;0.15;0.03;False;
l;Sam Tinnesz;Ready Set Let's Go;pop;3:36;74;B Major;54;0.38;0.45;0.67;0.12;0;0.06;0.03;False;
l;Nickelback;Rockstar;metal;4:12;144;C Major;66;0.69;0.62;0.91;0.05;0;0.34;0.04;False;
l;Nickelback;Photograph;metal;4:19;146;G#/Ab Major;68;0.39;0.52;0.88;0.0;0.0;0.14;0.03;False;
l;Avicii;Wake Me Up;pop;4:07;124;D Major;87;0.64;0.53;0.78;0.0;0.0;0.16;0.05;False;
l;Avicii;The Nights;pop;2:57;126;F#/Gb Major;87;0.65;0.53;0.83;0.02;0;0.25;0.04;False;
l;Yugopolis;Ostatnia nocka;pop;3:11;160;C Major;55;0.94;0.58;0.74;0.4;0.0;0.21;0.03;False;
l;Gala;Let a Boy Cry - prod. Molella, Phil Jay;pop;3:23;129;E Minor;51;0.83;0.69;0.77;0.0;0.06;0.11;0.04;False;
l;Enej;Symetryczno-liryczna;pop;3:18;170;D Minor;56;0.93;0.55;0.93;0.18;0;0.09;0.07;False;
l;Enej;Lili;pop;3:27;170;B Minor;56;0.59;0.47;0.89;0.04;0;0.36;0.06;False;
l;Elektryczne Gitary;To koniec - 2014;rock;2:34;98;F Major;46;0.69;0.38;0.75;0.01;0.0;0.08;0.05;False;
l;Wilki;Urke;rock;3:24;128;C#/Db Minor;56;0.39;0.49;0.86;0.01;0;0.28;0.03;False;
l;Lady Pank;Mniej ni¿ zero;rock;3:59;138;G Major;57;0.94;0.6;0.84;0.21;0.0;0.06;0.04;False;
l;Pectus;Barcelona;pop;3:18;190;C Minor;48;0.91;0.6;0.91;0.27;0;0.13;0.07;False;
l;Loka;Prawdziwe Powietrze;undefined;2:53;120;G Major;44;0.74;0.51;0.79;0.2;0;0.09;0.04;False;
l;Lady Pank;Na co komu dziœ;rock;3:43;114;A Minor;58;0.66;0.65;0.74;0.09;0.0;0.06;0.03;False;
l;Wilki;Na zawsze i na wiecznoœæ;rock;3:14;124;A Minor;56;0.74;0.59;0.7;0.2;0;0.15;0.03;False;
l;GOLEC UORKIESTRA;Œciernisco;pop;3:32;150;G#/Ab Major;49;0.73;0.6;0.95;0.0;0;0.11;0.16;False;
l;Wilki;Bohema;rock;3:39;134;G Major;52;0.84;0.56;0.77;0.13;0;0.57;0.03;False;
l;Myslovitz;Scenariusz dla moich s¹siadów;rock;3:12;129;C Major;57;0.79;0.71;0.72;0.07;0;0.06;0.04;False;
l;Nathan Evans;Wellerman - Sea Shanty;undefined;2:35;192;D#/Eb Major;73;0.79;0.68;0.36;0.61;0;0.14;0.11;False;
l;Zakopower;Boso;pop;3:43;130;D Minor;50;0.72;0.72;0.66;0.56;0.0;0.34;0.03;False;
l;Jeden Osiem L;Jak zapomnieæ;pop;3:29;85;A Major;59;0.39;0.72;0.59;0.48;0.0;0.15;0.24;False;
l;Avicii;Wake Me Up;pop;4:07;124;D Major;87;0.64;0.53;0.78;0.0;0.0;0.16;0.05;False;
l;Wham!;Wake Me Up Before You Go-Go;rock;3:51;82;C Major;81;0.9;0.62;0.57;0.27;0;0.06;0.04;False;
l;Enej;Radio Hello;pop;3:41;132;C Minor;38;0.81;0.65;0.76;0.08;0;0.26;0.05;False;
l;Piosenki Szantowe;Morskie Opowieœci;undefined;4:20;130;C Major;49;0.97;0.69;0.86;0.8;0;0.34;0.04;False;
l;Avicii;Heart Upon My Sleeve (feat. Imagine Dragons);pop;4:14;126;E Minor;64;0.38;0.59;0.6;0.32;0;0.15;0.03;False;
l;Imagine Dragons;Whatever It Takes;rock;3:21;135;A#/Bb Minor;84;0.56;0.67;0.66;0.04;0;0.12;0.03;False;
l;Imagine Dragons;I Bet My Life;rock;3:13;108;C#/Db Major;62;0.56;0.55;0.66;0.34;0.0;0.23;0.04;False;
l;Imagine Dragons;Enemy (with JID) - from the series Arcane League of Legends;rock;2:53;77;B Minor;82;0.56;0.73;0.78;0.24;0;0.43;0.27;False;
l;Imagine Dragons;My Life;rock;3:45;130;E Major;64;0.3;0.53;0.43;0.08;0;0.14;0.03;False;
l;Imagine Dragons;Next To Me;rock;3:50;169;D Major;71;0.38;0.3;0.67;0.28;0.0;0.06;0.06;False;
l;Rolli und Rita;Was Ist Dein Lieblingsfach?;undefined;1:11;135;A Minor;45;0.85;0.83;1.0;0.3;0.0;0.35;0.12;False;
l;Pitbull;Hotel Room Service;pop;3:58;126;C#/Db Major;74;0.79;0.85;0.63;0.01;0.0;0.07;0.17;False;
l;Lynyrd Skynyrd;Sweet Home Alabama;rock;4:44;98;G Major;83;0.89;0.6;0.6;0.18;0.0;0.09;0.03;False;
l;Bob Marley & The Wailers;Could You Be Loved;r&b;3:57;103;C Major;86;0.76;0.92;0.72;0.36;0.0;0.1;0.1;False;
l;Enej;Ostatni Raz;pop;4:25;167;C#/Db Major;48;0.58;0.48;0.74;0.09;0.0;0.23;0.04;False;
l;Rucka Rucka Ali;I Love the CCP;pop;2:52;154;B Minor;31;0.63;0.77;0.8;0.24;0;0.27;0.28;True;
l;Samstring;Bing Chilling - Remix;pop;3:10;145;A Minor;35;0.37;0.77;0.94;0.2;0.81;0.32;0.3;False;
l;TOTO;Africa;rock;4:56;93;A Major;85;0.73;0.67;0.37;0.26;0.0;0.05;0.03;False;
l;Czerwone Gitary;Kwiaty we w³osach;pop;2:16;112;E Minor;47;0.47;0.64;0.55;0.56;0;0.07;0.03;False;
l;Dzem;Whisky - 2003 Remaster;blues;5:08;140;C Major;47;0.45;0.4;0.47;0.55;0.01;0.17;0.03;False;
l;Maanam;Nie Poganiaj Mnie Bo Tracê Oddech - 2011 Remaster;folk/acoustic;3:12;141;G Major;47;0.96;0.69;0.74;0.12;0;0.8;0.04;False;
l;sanah;Warszawa (J. Tuwim);pop;1:44;144;E Major;45;0.3;0.54;0.36;0.55;0.0;0.1;0.04;False;
l;sanah;ostatnia nadzieja;pop;3:46;105;E Minor;62;0.49;0.69;0.72;0.13;0.0;0.58;0.03;False;
l;B.R.O;Jeszcze Bêdzie Piêknie;hip hop;3:18;148;A Minor;59;0.83;0.76;0.72;0.27;0.0;0.18;0.04;False;
l;Myslovitz;Dlugoœæ dŸwiêku samotnoœci;rock;4:11;98;F Major;63;0.65;0.55;0.69;0.35;0.0;0.09;0.03;False;
l;Micha³ Szczygie³;Adrenalina;pop;3:00;173;A Minor;46;0.72;0.68;0.7;0.27;0;0.4;0.06;False;
l;Dawid Podsiad³o;Trójk¹ty i Kwadraty;pop;4:03;125;E Minor;54;0.77;0.71;0.72;0.02;0.05;0.13;0.03;False;
l;Megan Moroney;Mustang or Me;country;3:24;76;A Major;47;0.24;0.43;0.35;0.48;0;0.1;0.03;False;
l;Perfect;Ko³ysanka dla nieznajomej;pop;3:35;100;G#/Ab Minor;59;0.64;0.78;0.36;0.32;0;0.12;0.03;False;
l;Elektryczne Gitary;Kiler - 2014;rock;3:44;150;B Minor;37;0.78;0.57;0.86;0.02;0.0;0.22;0.04;False;
l;Anna Wyszkoni;Biegnij Przed Siebie;pop;2:43;155;A#/Bb Minor;52;0.74;0.5;0.61;0.11;0;0.08;0.03;False;
l;Piersi;Ba³kanica;pop;3:10;120;G Major;52;0.89;0.79;0.81;0.05;0.0;0.07;0.03;False;
l;Perfect;Niepokonani;pop;4:18;142;A#/Bb Minor;52;0.2;0.39;0.52;0.03;0.0;0.07;0.03;False;
l;Perfect;IdŸ precz!;pop;3:27;123;E Minor;43;0.62;0.76;0.6;0.0;0.0;0.24;0.04;False;
l;Czerwone Gitary;Ci¹gle pada;pop;3:44;145;E Minor;42;0.9;0.62;0.43;0.77;0;0.12;0.04;False;
l;Czerwone Gitary;Dozwolone do lat 18;pop;2:25;118;E Major;34;0.79;0.71;0.69;0.44;0;0.12;0.08;False;
l;Maanam;Raz-dwa, raz-dwa;folk/acoustic;2:04;133;F#/Gb Minor;39;0.93;0.53;0.52;0.0;0.03;0.08;0.03;False;
l;Robert Gawlinski;Nie sta³o siê nic;rock;3:06;116;G Minor;51;0.94;0.63;0.81;0.11;0.0;0.24;0.03;False;
l;Skaldowie;Medytacje wiejskiego listonosza;pop;2:51;134;A Minor;41;0.78;0.46;0.84;0.29;0;0.31;0.04;False;
l;Adam Walaciñski;Ballada o Pancernych (Deszcze niespokojne);undefined;1:31;112;G Minor;33;0.72;0.54;0.2;0.92;0.0;0.08;0.04;False;
l;St. Lundi;Ready To Be Loved;pop;3:01;124;A Major;56;0.49;0.63;0.71;0.21;0;0.07;0.03;False;
l;OneRepublic;I Ain't Worried;rock;2:28;140;C Major;90;0.82;0.7;0.8;0.08;0.0;0.05;0.05;False;
l;OneRepublic;Counting Stars;rock;4:18;122;C#/Db Minor;76;0.48;0.66;0.7;0.07;0;0.12;0.04;False;
l;OneRepublic;Run;rock;2:49;117;B Minor;71;0.67;0.68;0.72;0.33;0;0.15;0.04;False;
l;OneRepublic;I Lived;rock;3:55;120;A Major;64;0.31;0.6;0.85;0.07;0;0.28;0.04;False;
l;Maroon 5;Payphone;pop;3:51;110;E Major;69;0.52;0.74;0.76;0.01;0;0.37;0.04;True;
l;Bee Gees;Stayin Alive;r&b;4:45;104;A#/Bb Minor;74;0.95;0.7;0.77;0.03;0.01;0.15;0.03;False;
l;Linkin Park;In the End;metal;3:37;105;D#/Eb Minor;89;0.4;0.56;0.86;0.01;0;0.21;0.06;False;
l;The Script;Hall of Fame (feat. will.i.am);rock;3:23;85;A#/Bb Major;70;0.63;0.42;0.87;0.07;0;0.12;0.06;False;
l;Frank Sinatra;Yesterday;undefined;3:59;129;C Major;36;0.07;0.22;0.26;0.58;0.0;0.11;0.04;False;
l;The Script;Superheroes;rock;4:05;167;D#/Eb Major;75;0.64;0.49;0.89;0.0;0;0.07;0.04;False;
l;Calvin Harris;Blame (feat. John Newman);pop;3:33;128;C Minor;79;0.35;0.41;0.86;0.03;0.01;0.34;0.08;False;
l;Coldplay;A Sky Full of Stars;rock;4:28;125;F#/Gb Major;87;0.16;0.55;0.68;0.01;0.0;0.21;0.03;False;
l;ABBA;Voulez-Vous;pop;5:09;127;B Minor;72;0.9;0.71;0.77;0.15;0.0;0.17;0.04;False;
l;Gippeul;Red Sun In The Sky;pop;1:29;139;C Major;54;0.96;0.74;0.94;0.28;0;0.1;0.05;False;
l;Ivan Mladek;Jožin Z Bažin;pop;2:32;112;G Major;43;0.83;0.85;0.52;0.39;0;0.09;0.07;False;
l;Europe;The Final Countdown;rock;5:10;118;F#/Gb Minor;78;0.19;0.53;0.84;0.06;0.0;0.06;0.06;False;
l;Eurythmics;Sweet Dreams (Are Made of This) - Remastered;rock;3:37;125;C Minor;85;0.88;0.69;0.71;0.23;0;0.12;0.03;False;
l;Van Halen;Panama - 2015 Remaster;rock;3:30;141;G#/Ab Major;76;0.45;0.53;0.98;0.0;0.0;0.07;0.11;False;
l;Michael Jackson;Beat It;r&b;4:18;139;D#/Eb Minor;78;0.92;0.78;0.87;0.05;0.0;0.2;0.05;False;
l;KISS;I Was Made For Lovin' You;rock;4:31;128;E Major;83;0.87;0.77;0.85;0.21;0.0;0.07;0.04;False;
l;The Black Jets;I Love Rock 'n' Roll;undefined;2:57;94;E Minor;58;0.68;0.76;0.48;0.07;0.0;0.08;0.07;False;
l;a-ha;Take on Me;rock;3:45;84;F#/Gb Minor;89;0.88;0.57;0.9;0.02;0.0;0.09;0.05;False;
l;Metallica;Nothing Else Matters (Remastered);rock;6:29;142;E Minor;71;0.17;0.55;0.39;0.05;0.0;0.08;0.03;False;
l;Creedence Clearwater Revival;Fortunate Son;rock;2:21;133;C Major;87;0.66;0.64;0.66;0.2;0.01;0.15;0.04;False;
l;Van Halen;Jump;rock;4:00;130;C Major;63;0.77;0.54;0.82;0.07;0.01;0.06;0.03;False;
l;Kwiat Jab³oni;Za siódm¹ chmur¹;pop;3:49;103;A Minor;38;0.55;0.76;0.45;0.89;0.31;0.13;0.04;False;
l;sanah;Szary œwiat;pop;3:23;121;C#/Db Major;58;0.27;0.7;0.55;0.13;0;0.08;0.04;False;
l;Irena Jarocka;Motylem jestem;pop;2:53;134;D#/Eb Major;32;0.56;0.45;0.45;0.56;0;0.12;0.03;False;
l;Tears For Fears;Everybody Wants To Rule The World;rock;4:11;112;G Major;89;0.54;0.65;0.8;0.35;0.0;0.1;0.05;False;
l;Rufus Wainwright;Hallelujah;pop;4:09;73;A Minor;59;0.45;0.34;0.2;0.88;0;0.1;0.03;False;
l;Yugopolis;Miasto budzi siê;pop;4:20;84;C Major;46;0.64;0.57;0.74;0.13;0.0;0.11;0.03;False;
l;Green Day;Boulevard of Broken Dreams;rock;4:22;167;G#/Ab Major;79;0.47;0.5;0.68;0.01;0.0;0.06;0.03;True;
l;Vance Joy;Riptide;pop;3:24;102;C#/Db Major;83;0.51;0.48;0.73;0.43;0;0.15;0.04;False;
l;Men At Work;Down Under;rock;3:42;107;B Minor;78;0.89;0.74;0.46;0.13;0.02;0.05;0.03;False;
l;Judas Priest;No Surrender;rock;2:54;130;G Major;56;0.71;0.6;0.9;0.0;0.0;0.07;0.04;False;
l;Judas Priest;Breaking the Law;rock;2:34;164;D Major;73;0.49;0.36;0.96;0.02;0.0;0.16;0.09;False;
l;Lady Pank;Zawsze tam gdzie Ty;rock;4:19;95;C Major;60;0.57;0.68;0.38;0.68;0;0.06;0.03;False;
l;Lady Pank;Zamki na piasku;rock;4:30;90;B Minor;53;0.74;0.65;0.72;0.04;0.0;0.14;0.05;False;
l;ABBA;The Winner Takes It All;pop;4:55;126;F#/Gb Major;76;0.52;0.45;0.79;0.57;0.0;0.09;0.04;False;
l;Vic9;Big Dawg;hip hop;2:16;102;A#/Bb Major;57;0.3;0.9;0.72;0.02;0.0;0.12;0.1;True;
l;IRA;Nadzieja;pop;3:39;147;G Major;48;0.41;0.36;0.65;0.01;0;0.09;0.04;False;
l;Dzem;Naiwne pytania - 2003 Remaster;blues;5:37;132;D Major;49;0.89;0.72;0.78;0.24;0.0;0.05;0.03;False;
l;Bajm;Bia³a armia;pop;4:35;99;A Major;55;0.63;0.62;0.6;0.2;0;0.12;0.03;False;
l;Bracia;Wierze w lepszy swiat;pop;3:30;96;C#/Db Major;40;0.56;0.61;0.72;0.0;0;0.13;0.02;False;
l;Budka Suflera;Takie tango;rock;4:38;113;D Minor;52;0.84;0.84;0.61;0.23;0;0.24;0.03;False;
l;Judas Priest;Lightning Strike;rock;3:29;113;A Minor;55;0.34;0.52;0.92;0.0;0.43;0.07;0.05;False;
l;Black Sabbath;Paranoid;rock;2:48;163;E Minor;57;0.38;0.43;0.63;0.0;0.0;0.17;0.08;False;
l;Black Sabbath;Iron Man;rock;5:55;157;A Major;57;0.53;0.33;0.77;0.0;0.0;0.04;0.08;False;
l;Mötley Crüe;Live Wire;rock;3:15;112;G Minor;67;0.68;0.41;0.9;0.0;0.0;0.56;0.06;False;
l;Metallica;Die, Die My Darling;rock;2:29;178;A#/Bb Minor;52;0.79;0.45;0.97;0.0;0;0.14;0.06;False;
l;Queen;We Will Rock You;rock;2:02;81;B Minor;53;0.6;0.7;0.38;0.67;0;0.16;0.07;False;
l;Ozzy Osbourne;Crazy Train;rock;4:53;138;A Major;80;0.52;0.45;0.91;0.41;0.0;0.25;0.11;False;
l;Led Zepagain;Stairway to Heaven;metal;8:18;98;G Major;53;0.26;0.39;0.48;0.2;0.01;0.08;0.03;False;
l;Phone Calls From Home;She's a Maniac;pop;3:59;160;D Minor;35;0.32;0.47;0.87;0.03;0;0.36;0.07;False;
l;Airbourne;No Way But the Hard Way;rock;3:35;116;A Major;51;0.53;0.57;0.95;0.0;0.04;0.02;0.07;False;
l;AC/DC;Back In Black;rock;4:15;188;A Major;85;0.76;0.31;0.7;0.01;0.01;0.08;0.05;False;
l;Dio;Rainbow in the Dark;rock;4:17;117;A Minor;63;0.61;0.51;0.95;0.0;0.11;0.03;0.04;False;
l;Mötley Crüe;Kickstart My Heart;rock;4:43;179;G Minor;80;0.28;0.36;0.98;0.0;0.0;0.28;0.3;False;
l;Twisted Sister;I Wanna Rock;rock;3:00;106;D Major;72;0.67;0.5;0.91;0.01;0.01;0.35;0.07;False;
l;AC/DC;Touch Too Much;rock;4:26;123;G Major;66;0.6;0.52;0.91;0.04;0.0;0.31;0.1;False;
l;Judas Priest;Firepower;rock;3:27;95;A#/Bb Minor;54;0.57;0.48;0.96;0.0;0.25;0.11;0.06;False;
l;Dio;Holy Diver;rock;5:54;92;G#/Ab Major;63;0.11;0.48;0.9;0.06;0.16;0.06;0.1;False;
l;Quiet Riot;Cum on Feel the Noize;rock;4:51;145;B Minor;71;0.37;0.41;0.92;0.01;0.0;0.08;0.12;False;
l;Savatage;Edge of Thorns;metal;5:56;93;G Major;31;0.26;0.31;0.68;0.0;0.0;0.25;0.04;False;
l;Judas Priest;Electric Eye;rock;3:42;97;E Minor;62;0.36;0.44;0.95;0.0;0.0;0.15;0.06;False;
l;Ozzy Osbourne;Hellraiser;rock;4:53;96;E Major;61;0.51;0.4;0.85;0.0;0.0;0.23;0.03;False;
l;Megadeth;Symphony Of Destruction - Remastered 2012;metal;4:02;140;E Minor;68;0.71;0.66;0.91;0.0;0.68;0.11;0.05;False;
l;Savatage;Gutter Ballet;metal;6:21;101;C Major;30;0.18;0.31;0.79;0.23;0.08;0.13;0.05;False;
l;Megadeth;A Tout Le Monde - Remastered 2004;metal;4:22;203;F Minor;68;0.26;0.27;0.75;0.0;0.0;0.16;0.04;False;
l;Scorpions;No One Like You;rock;3:57;118;A Minor;68;0.83;0.51;0.63;0.02;0.0;0.14;0.04;False;
l;UFO;Doctor Doctor - 2007 Remaster;rock;4:12;143;D Minor;61;0.58;0.36;0.8;0.0;0.0;0.5;0.04;False;
